生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。,フシギダネ
生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。,フシギダネ
生まれたときから 背中に 植物の タネが あって 少しずつ 大きく 育つ。,フシギダネ
生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。,フシギダネ
日なたで 昼寝を する 姿を 見かける。太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。,フシギダネ
太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。,フシギソウ
つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。,フシギソウ
養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。,フシギソウ
つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。,フシギソウ
背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。,フシギソウ
太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。,フシギバナ
背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。,フシギバナ
十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。,フシギバナ
花から うっとりする 香りが ただよい 戦うものの 気持ちを なだめてしまう。,フシギバナ
2本の ふとい ツルを 振りまわし 戦う。 10階建ての ビルを かるく なぎ倒すほど パワフルだ。,フシギバナ
生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。,ヒトカゲ
熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。,ヒトカゲ
尻尾の 炎は 気分を 表現。 楽しい ときには ゆらゆら 炎が ゆれて 怒った ときには めらめら 盛んに 燃える。,ヒトカゲ
静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。,ヒトカゲ
燃える しっぽを 振りまわし するどい ツメで 相手を 切り裂く 荒々しい 性格。,リザード
尻尾を 振り回して 相手を なぎ倒し 鋭い ツメで ズタズタに ひきさいてしまう。,リザード
鋭い ツメで ようしゃなく たたきのめす。 強敵と 向かい合うと 気分が たかぶり 尻尾の 炎が 青白く 燃えあがる。,リザード
強敵と 戦いつづけ エキサイトすると 青白い 炎を 吐き出すことがある。,リザード
燃える 尻尾を 振り回すと まわりの 温度が どんどん 上がって 相手を 苦しめる。,リザード
全身に みなぎる 並はずれた パワーが 体を 黒く 染め上げ 青い 炎を メラメラ 燃やす。,リザードン
摂氏2000度の 炎が 体内で 渦巻く。 吠えると 火力が さらに 上がる。,リザードン
口から 灼熱の 炎を 吐き出すとき 尻尾の先は より 赤く 激しく 燃え上がる。,リザードン
