 生まれて しばらくの あいだ 背中の タネに つまった 栄養を とって 育つ。,フシギダネ
 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。,フシギダネ
 生まれたときから 背中に 不思議な タネが 植えてあって 体と ともに 育つという。,フシギダネ
 何日だって なにも 食べなくても 元気! 背中のタネに たくさん 栄養が あるから 平気だ!,フシギダネ
 日なたで 昼寝を する 姿を 見かける。太陽の 光を いっぱい 浴びることで 背中の タネが 大きく 育つのだ。,フシギダネ
 養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。,フシギソウ
 つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。,フシギソウ
 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。,フシギソウ
 背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。,フシギソウ
 つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。,フシギソウ
 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。,フシギバナ
 太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。,フシギバナ
 山の 噴火のような 勢いで ばらまく 大量の 花粉は 吸いこみすぎると 気を 失うぞ。,フシギバナ
 十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。,フシギバナ
 背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。,フシギバナ
 生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。,ヒトカゲ
 尻尾の 炎は 気分を 表現。 楽しい ときには ゆらゆら 炎が ゆれて 怒った ときには めらめら 盛んに 燃える。,ヒトカゲ
 熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。,ヒトカゲ
 静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。,ヒトカゲ
 強敵と 戦いつづけ エキサイトすると 青白い 炎を 吐き出すことがある。,リザード
 鋭い ツメで ようしゃなく たたきのめす。 強敵と 向かい合うと 気分が たかぶり 尻尾の 炎が 青白く 燃えあがる。,リザード
 燃える 尻尾を 振り回すと まわりの 温度が どんどん 上がって 相手を 苦しめる。,リザード
 燃える しっぽを 振りまわし するどい ツメで 相手を 切り裂く 荒々しい 性格。,リザード
 尻尾を 振り回して 相手を なぎ倒し 鋭い ツメで ズタズタに ひきさいてしまう。,リザード
 岩石も 焼けるような 灼熱の 炎を 吐いて 山火事を 起こすことが ある。,リザードン
 トレーナーとの 絆が パワーの 源。 ジェット機を しのぐ 飛行能力を 誇る。,リザードン
 摂氏2000度の 炎が 体内で 渦巻く。 吠えると 火力が さらに 上がる。,リザードン
 口から 灼熱の 炎を 吐き出すとき 尻尾の先は より 赤く 激しく 燃え上がる。,リザードン
 地上 1400メートルまで 羽を 使って 飛ぶことができる。高熱の 炎を 吐く。,リザードン
 甲羅に 閉じこもり 身を 守る。相手の すきを 見逃さず 水を 噴き出して 反撃する。,ゼニガメ
 水面から 水を 噴射して エサをとる。危なくなると こうらに 手足を 引っこめて 身を守る。,ゼニガメ
 長い 首を 甲羅のなかに 引っこめるとき 勢いよく 水鉄砲を 発射する。,ゼニガメ
 危なくなると 甲羅に 手足を 引っこめて 身を 守りながら 口から 水を 吹き出している。,ゼニガメ
 甲羅の 役目は 身を 守る だけではない。丸い 形と 表面の 溝が 水の 抵抗を 減らすので 速く 泳げるのだ。,ゼニガメ
 ふさふさの 毛で 覆われた 大きな 尻尾は 長生き するほど 深い 色合いに 変わる。甲羅の キズは 強者の 証。,カメール
 1万年の 寿命を 持つと 言われている。ふさふさの しっぽは 長生きの シンボルとして人気。,カメール
 ポカンと 頭を たたかれるとき こうらに 引っこんで よける。でも ちょっとだけ シッポが 出ているよ。,カメール
 ふさふさの 耳と しっぽを たくみに 操って 水中での バランスを たもつ。,カメール
 ポカンと 頭を たたかれるとき 甲羅に 引っこんで 避ける。でも ちょっとだけ 尻尾が 出ているよ。,カメール
 甲羅に 噴射口が あって ロケットのような 勢いで 突っ込んでくる すごい やつだ。,カメックス
 精密な 射撃は 苦手。 31門の 大砲で 撃って撃って 撃ちまくる スタイルで 攻めるのだ。,カメックス
 甲羅の ロケット砲 から 噴き出した ジェット水流は ぶ厚い 鉄板も つらぬく。,カメックス
 相手に 狙いを 定めると 消防車の ホースより 強い 勢いで 水を 出す。,カメックス
 甲羅の 噴射口の ねらいは 正確。水の 弾丸を 50メートル 離れた 空き缶に 命中させる ことが できるぞ。,カメックス
 頭の 触角から 強烈な においを だして 敵を 追いはらい 身を守る。,キャタピー
 頭の 触覚[dex 1]から 強烈な においを 出して 敵を 追い払い 身を守る。,キャタピー
 身体は 柔らかく 力もない。 自然界では 常に エサとして 狙われ 続ける 運命。,キャタピー
 体 よりも 大きな 葉っぱを みるみる 食べつくして しまうほどの 食欲を もつ。 触角から 強烈な 臭いを 出すぞ。,キャタピー
 足の 先は どんなところにも 吸いつく 吸盤。必死に 木登りをして 葉っぱを 食べる。,キャタピー
 硬いと いっても 虫の 殻。割れてしまうことも あるので 激しい 戦いは 禁物。,トランセル
 カラの中は ドロドロの 液体。 進化に 備えて 体中の 細胞を 作りなおしている。,トランセル
 鋼鉄のように 硬い 殻で やわらかい 中身を 守っている。進化するまで じっと 耐えている。,トランセル
 硬い 殻に 包まれているが 中身は 軟らかいので 強い 攻撃には 耐えられない。,トランセル
進化を 待っている 状態。硬くなる ことしか できないので 襲われないよう じっとしている。,トランセル
 羽を 包む りん粉は 猛毒。 キャタピーを 狙う とりポケモンを 見つけると ふりかけて 追い払うぞ。,バタフリー
 綺麗な 花の ミツが 好物。 花畑で アブリーとの 熾烈な 縄張り争いを 繰り広げる。,バタフリー
 ハネの 猛毒の りん粉には 水を弾く 性質が あるので 雨の日 でも 飛びまわれる。,バタフリー
 大きな 眼を よく 観察すると 実は 小さな 眼が 無数に 集まって できているのが わかる。,バタフリー
 キョダイマックスの パワーが 結晶となり まばゆく 光る 猛毒の りんぷんに なっている。,バタフリー
 森や 草地に 多く 生息。頭の 先に 5センチぐらいの 小さく 鋭い 毒針を持つ。,ビードル
 とても 鋭い 嗅覚を 持っている。好物の 葉っぱか 嫌いな 葉っぱか 大きな 赤い 鼻で 嗅ぎ分ける。,ビードル
 毎日 自分と 同じ 重さの 葉っぱを 食べる。 頭の 針で 襲ってきた 敵を 撃退。,ビードル
 頭に 鋭い ハリを もつ。 森や 草地の 茂みに 隠れ ひたすら ハッパを 食べている。,ビードル
 毒針は とても 強力。目立つ 体の 色は 相手に 警戒を させるためだ。,ビードル
 自分では ほとんど 動けないが 危なくなると ハリを出して 毒を 与えることも あるらしい。,コクーン
 自分では ほとんど 動けないが 危ないときは 硬くなって 身を守っているようだ。,コクーン
 ほとんど 動かず 木に つかまっているが 中では 進化の 準備で 大忙し。その 証拠に 体が 熱くなっているぞ。,コクーン
